Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,300,300,152,54,144,153,True,,,,,
BF,Yes,300,300,152,54,144,153,True,154,53,147,154,53
PH,No,300,300,152,54,144,153,True,,,,,
PH,Yes,300,300,152,54,144,153,True,154,53,147,154,53
BF,No,300,300,141,205,144,459,True,,,,,
BF,Yes,300,300,141,205,144,148,True,141,205,144,141,205
PH,No,300,300,141,205,144,147,True,,,,,
PH,Yes,300,300,141,205,144,148,True,141,205,144,141,205
BF,No,300,300,106,179,144,107,True,,,,,
BF,Yes,300,300,106,179,144,107,True,105,179,102,105,179
PH,No,300,300,106,179,144,107,True,,,,,
PH,Yes,300,300,106,179,144,107,True,105,179,102,105,179
BF,No,300,300,179,116,144,180,True,,,,,
BF,Yes,300,300,179,116,144,127,True,179,116,123,179,116
PH,No,300,300,179,116,144,133,True,,,,,
PH,Yes,300,300,179,116,144,127,True,179,116,123,179,116
BF,No,300,300,293,201,144,307,True,,,,,
BF,Yes,300,300,293,201,144,12,True,293,201,9,293,201
PH,No,300,300,293,201,144,19,True,,,,,
PH,Yes,300,300,293,201,144,12,True,293,201,9,293,201
BF,No,300,300,158,152,144,142,True,,,,,
BF,Yes,300,300,158,152,144,142,True,158,152,141,158,152
PH,No,300,300,158,152,144,142,True,,,,,
PH,Yes,300,300,158,152,144,142,True,158,152,141,158,152
BF,No,300,300,105,295,144,106,True,,,,,
BF,Yes,300,300,105,295,144,106,True,107,296,105,107,296
PH,No,300,300,105,295,144,106,True,,,,,
PH,Yes,300,300,105,295,144,106,True,107,296,105,107,296
BF,No,300,300,267,299,144,633,True,,,,,
BF,Yes,300,300,267,299,144,52,True,267,299,48,267,299
PH,No,300,300,267,299,144,45,True,,,,,
PH,Yes,300,300,267,299,144,93,True,267,299,90,267,299
BF,No,300,300,47,223,144,348,True,,,,,
BF,Yes,300,300,47,223,144,48,True,48,223,45,48,223
PH,No,300,300,47,223,144,69,True,,,,,
PH,Yes,300,300,47,223,144,48,True,48,223,45,48,223
BF,No,300,300,20,23,144,321,True,,,,,
BF,Yes,300,300,20,23,144,21,True,21,23,18,21,23
PH,No,300,300,20,23,144,42,True,,,,,
PH,Yes,300,300,20,23,144,21,True,21,23,18,21,23
BF,No,300,300,212,26,144,388,True,,,,,
BF,Yes,300,300,212,26,144,93,True,212,26,90,212,26
PH,No,300,300,212,26,144,100,True,,,,,
PH,Yes,300,300,212,26,144,93,True,212,26,90,212,26
BF,No,300,300,203,100,144,204,True,,,,,
BF,Yes,300,300,203,100,144,109,True,203,100,105,203,100
PH,No,300,300,203,100,144,118,True,,,,,
PH,Yes,300,300,203,100,144,108,True,203,100,105,203,100
BF,No,300,300,125,132,144,426,True,,,,,
BF,Yes,300,300,125,132,144,128,True,125,132,126,125,132
PH,No,300,300,125,132,144,138,True,,,,,
PH,Yes,300,300,125,132,144,128,True,125,132,126,125,132
BF,No,300,300,230,285,144,70,True,,,,,
BF,Yes,300,300,230,285,144,70,True,230,285,66,230,285
PH,No,300,300,230,285,144,70,True,,,,,
PH,Yes,300,300,230,285,144,70,True,230,285,66,230,285
BF,No,300,300,98,266,144,99,True,,,,,
BF,Yes,300,300,98,266,144,99,True,99,266,96,99,266
PH,No,300,300,98,266,144,99,True,,,,,
PH,Yes,300,300,98,266,144,99,True,99,266,96,99,266
BF,No,300,300,4,178,144,305,True,,,,,
BF,Yes,300,300,4,178,144,9,True,4,178,6,4,178
PH,No,300,300,4,178,144,17,True,,,,,
PH,Yes,300,300,4,178,144,9,True,4,178,6,4,178
BF,No,300,300,131,10,144,169,True,,,,,
BF,Yes,300,300,131,10,144,132,True,132,10,129,132,10
PH,No,300,300,131,10,144,144,True,,,,,
PH,Yes,300,300,131,10,144,132,True,132,10,129,132,10
BF,No,300,300,5,21,144,595,True,,,,,
BF,Yes,300,300,5,21,144,8,True,5,21,6,5,21
PH,No,300,300,5,21,144,11,True,,,,,
PH,Yes,300,300,5,21,144,8,True,5,21,6,5,21
BF,No,300,300,250,45,144,251,True,,,,,
BF,Yes,300,300,250,45,144,54,True,250,45,51,250,45
PH,No,300,300,250,45,144,62,True,,,,,
PH,Yes,300,300,250,45,144,54,True,250,45,51,250,45
BF,No,300,300,298,85,144,2,True,,,,,
BF,Yes,300,300,298,85,144,2,True,,,,,
PH,No,300,300,298,85,144,2,True,,,,,
PH,Yes,300,300,298,85,144,2,True,,,,,
BF,No,300,300,91,89,144,209,True,,,,,
BF,Yes,300,300,91,89,144,96,True,91,89,93,91,89
PH,No,300,300,91,89,144,104,True,,,,,
PH,Yes,300,300,91,89,144,96,True,91,89,93,91,89
BF,No,300,300,140,194,144,441,True,,,,,
BF,Yes,300,300,140,194,144,141,True,141,194,138,141,194
PH,No,300,300,140,194,144,153,True,,,,,
PH,Yes,300,300,140,194,144,141,True,141,194,138,141,194
BF,No,300,300,138,280,144,462,True,,,,,
BF,Yes,300,300,138,280,144,145,True,138,280,141,138,280
PH,No,300,300,138,280,144,144,True,,,,,
PH,Yes,300,300,138,280,144,145,True,138,280,141,138,280
BF,No,300,300,60,26,144,540,True,,,,,
BF,Yes,300,300,60,26,144,66,True,60,26,63,60,26
PH,No,300,300,60,26,144,66,True,,,,,
PH,Yes,300,300,60,26,144,66,True,60,26,63,60,26
BF,No,300,300,205,278,144,506,True,,,,,
BF,Yes,300,300,205,278,144,95,True,203,278,93,203,278
PH,No,300,300,205,278,144,100,True,,,,,
PH,Yes,300,300,205,278,144,95,True,203,278,93,203,278
BF,No,300,300,265,227,144,35,True,,,,,
BF,Yes,300,300,265,227,144,35,True,266,227,30,266,227
PH,No,300,300,265,227,144,35,True,,,,,
PH,Yes,300,300,265,227,144,35,True,266,227,30,266,227
BF,No,300,300,50,165,144,351,True,,,,,
BF,Yes,300,300,50,165,144,51,True,51,165,48,51,165
PH,No,300,300,50,165,144,63,True,,,,,
PH,Yes,300,300,50,165,144,51,True,51,165,48,51,165
BF,No,300,300,40,24,144,860,True,,,,,
BF,Yes,300,300,40,24,144,45,True,40,24,42,40,24
PH,No,300,300,40,24,144,53,True,,,,,
PH,Yes,300,300,40,24,144,45,True,40,24,42,40,24
BF,No,300,300,151,297,144,149,True,,,,,
BF,Yes,300,300,151,297,144,149,True,152,297,147,152,297
PH,No,300,300,151,297,144,149,True,,,,,
PH,Yes,300,300,151,297,144,149,True,152,297,147,152,297
BF,No,300,300,73,148,144,374,True,,,,,
BF,Yes,300,300,73,148,144,78,True,73,148,75,73,148
PH,No,300,300,73,148,144,95,True,,,,,
PH,Yes,300,300,73,148,144,78,True,73,148,75,73,148
BF,No,300,300,140,196,144,460,True,,,,,
BF,Yes,300,300,140,196,144,143,True,140,196,141,140,196
PH,No,300,300,140,196,144,146,True,,,,,
PH,Yes,300,300,140,196,144,143,True,140,196,141,140,196
BF,No,300,300,94,232,144,395,True,,,,,
BF,Yes,300,300,94,232,144,99,True,94,232,96,94,232
PH,No,300,300,94,232,144,107,True,,,,,
PH,Yes,300,300,94,232,144,99,True,94,232,96,94,232
BF,No,300,300,154,101,144,446,True,,,,,
BF,Yes,300,300,154,101,144,150,True,154,101,147,154,101
PH,No,300,300,154,101,144,158,True,,,,,
PH,Yes,300,300,154,101,144,150,True,154,101,147,154,101
BF,No,300,300,20,23,144,321,True,,,,,
BF,Yes,300,300,20,23,144,21,True,21,23,18,21,23
PH,No,300,300,20,23,144,42,True,,,,,
PH,Yes,300,300,20,23,144,21,True,21,23,18,21,23
BF,No,300,300,281,36,144,582,True,,,,,
BF,Yes,300,300,281,36,144,24,True,281,36,21,281,36
PH,No,300,300,281,36,144,24,True,,,,,
PH,Yes,300,300,281,36,144,24,True,281,36,21,281,36
BF,No,300,300,290,58,144,291,True,,,,,
BF,Yes,300,300,290,58,144,16,True,290,58,12,290,58
PH,No,300,300,290,58,144,22,True,,,,,
PH,Yes,300,300,290,58,144,16,True,290,58,12,290,58
BF,No,300,300,286,257,144,587,True,,,,,
BF,Yes,300,300,286,257,144,18,True,286,257,15,286,257
PH,No,300,300,286,257,144,19,True,,,,,
PH,Yes,300,300,286,257,144,18,True,286,257,15,286,257
BF,No,300,300,278,186,144,579,True,,,,,
BF,Yes,300,300,278,186,144,27,True,278,186,24,278,186
PH,No,300,300,278,186,144,27,True,,,,,
PH,Yes,300,300,278,186,144,27,True,278,186,24,278,186
BF,No,300,300,177,275,144,178,True,,,,,
BF,Yes,300,300,177,275,144,123,True,176,275,120,176,275
PH,No,300,300,177,275,144,144,True,,,,,
PH,Yes,300,300,177,275,144,123,True,176,275,120,176,275
BF,No,300,300,5,1,144,595,True,,,,,
BF,Yes,300,300,5,1,144,14,True,5,1,9,5,1
PH,No,300,300,5,1,144,11,True,,,,,
PH,Yes,300,300,5,1,144,17,True,5,1,12,5,1
BF,No,300,300,295,208,144,296,True,,,,,
BF,Yes,300,300,295,208,144,9,True,295,208,6,295,208
PH,No,300,300,295,208,144,17,True,,,,,
PH,Yes,300,300,295,208,144,9,True,295,208,6,295,208
BF,No,300,300,87,35,144,213,True,,,,,
BF,Yes,300,300,87,35,144,94,True,87,35,90,87,35
PH,No,300,300,87,35,144,100,True,,,,,
PH,Yes,300,300,87,35,144,94,True,87,35,90,87,35
BF,No,300,300,225,270,144,226,True,,,,,
BF,Yes,300,300,225,270,144,75,True,224,270,72,224,270
PH,No,300,300,225,270,144,87,True,,,,,
PH,Yes,300,300,225,270,144,75,True,224,270,72,224,270
BF,No,300,300,246,203,144,547,True,,,,,
BF,Yes,300,300,246,203,144,54,True,245,203,51,245,203
PH,No,300,300,246,203,144,59,True,,,,,
PH,Yes,300,300,246,203,144,54,True,245,203,51,245,203
BF,No,300,300,276,91,144,277,True,,,,,
BF,Yes,300,300,276,91,144,24,True,275,91,21,275,91
PH,No,300,300,276,91,144,36,True,,,,,
PH,Yes,300,300,276,91,144,24,True,275,91,21,275,91
BF,No,300,300,126,232,144,427,True,,,,,
BF,Yes,300,300,126,232,144,132,True,126,232,129,126,232
PH,No,300,300,126,232,144,139,True,,,,,
PH,Yes,300,300,126,232,144,132,True,126,232,129,126,232
BF,No,300,300,159,269,144,460,True,,,,,
BF,Yes,300,300,159,269,144,143,True,159,269,141,159,269
PH,No,300,300,159,269,144,146,True,,,,,
PH,Yes,300,300,159,269,144,143,True,159,269,141,159,269
BF,No,300,300,264,171,144,336,True,,,,,
BF,Yes,300,300,264,171,144,36,True,263,171,33,263,171
PH,No,300,300,264,171,144,48,True,,,,,
PH,Yes,300,300,264,171,144,36,True,263,171,33,263,171
BF,No,300,300,55,154,144,56,True,,,,,
BF,Yes,300,300,55,154,144,56,True,54,154,51,54,154
PH,No,300,300,55,154,144,56,True,,,,,
PH,Yes,300,300,55,154,144,56,True,54,154,51,54,154
BF,No,300,300,144,259,144,456,True,,,,,
BF,Yes,300,300,144,259,144,150,True,144,259,147,144,259
PH,No,300,300,144,259,144,150,True,,,,,
PH,Yes,300,300,144,259,144,150,True,144,259,147,144,259
BF,No,300,300,233,149,144,667,True,,,,,
BF,Yes,300,300,233,149,144,79,True,233,149,75,233,149
PH,No,300,300,233,149,144,79,True,,,,,
PH,Yes,300,300,233,149,144,78,True,233,149,75,233,149
BF,No,300,300,200,115,144,501,True,,,,,
BF,Yes,300,300,200,115,144,105,True,200,115,102,200,115
PH,No,300,300,200,115,144,105,True,,,,,
PH,Yes,300,300,200,115,144,105,True,200,115,102,200,115
BF,No,300,300,261,296,144,339,True,,,,,
BF,Yes,300,300,261,296,144,48,True,261,296,45,261,296
PH,No,300,300,261,296,144,51,True,,,,,
PH,Yes,300,300,261,296,144,48,True,261,296,45,261,296
BF,No,300,300,172,141,144,173,True,,,,,
BF,Yes,300,300,172,141,144,132,True,172,141,129,172,141
PH,No,300,300,172,141,144,140,True,,,,,
PH,Yes,300,300,172,141,144,132,True,172,141,129,172,141
BF,No,300,300,283,190,144,584,True,,,,,
BF,Yes,300,300,283,190,144,21,True,283,190,18,283,190
PH,No,300,300,283,190,144,22,True,,,,,
PH,Yes,300,300,283,190,144,21,True,283,190,18,283,190
BF,No,300,300,16,162,144,17,True,,,,,
BF,Yes,300,300,16,162,144,17,True,15,162,12,15,162
PH,No,300,300,16,162,144,17,True,,,,,
PH,Yes,300,300,16,162,144,17,True,15,162,12,15,162
BF,No,300,300,52,241,144,53,True,,,,,
BF,Yes,300,300,52,241,144,53,True,51,241,48,51,241
PH,No,300,300,52,241,144,53,True,,,,,
PH,Yes,300,300,52,241,144,53,True,51,241,48,51,241
BF,No,300,300,297,101,144,303,True,,,,,
BF,Yes,300,300,297,101,144,11,True,297,101,6,297,101
PH,No,300,300,297,101,144,31,True,,,,,
PH,Yes,300,300,297,101,144,9,True,297,101,6,297,101
BF,No,300,300,268,222,144,32,True,,,,,
BF,Yes,300,300,268,222,144,32,True,269,222,27,269,222
PH,No,300,300,268,222,144,32,True,,,,,
PH,Yes,300,300,268,222,144,32,True,269,222,27,269,222
BF,No,300,300,111,186,144,412,True,,,,,
BF,Yes,300,300,111,186,144,117,True,111,186,114,111,186
PH,No,300,300,111,186,144,124,True,,,,,
PH,Yes,300,300,111,186,144,117,True,111,186,114,111,186
BF,No,300,300,224,24,144,676,True,,,,,
BF,Yes,300,300,224,24,144,88,True,224,24,84,224,24
PH,No,300,300,224,24,144,88,True,,,,,
PH,Yes,300,300,224,24,144,87,True,224,24,84,224,24
BF,No,300,300,54,152,144,246,True,,,,,
BF,Yes,300,300,54,152,144,61,True,54,152,57,54,152
PH,No,300,300,54,152,144,67,True,,,,,
PH,Yes,300,300,54,152,144,61,True,54,152,57,54,152
BF,No,300,300,81,298,144,382,True,,,,,
BF,Yes,300,300,81,298,144,100,True,81,298,96,81,298
PH,No,300,300,81,298,144,103,True,,,,,
PH,Yes,300,300,81,298,144,155,True,81,298,153,81,298
BF,No,300,300,285,161,144,586,True,,,,,
BF,Yes,300,300,285,161,144,17,True,285,161,15,285,161
PH,No,300,300,285,161,144,20,True,,,,,
PH,Yes,300,300,285,161,144,17,True,285,161,15,285,161
BF,No,300,300,170,67,144,430,True,,,,,
BF,Yes,300,300,170,67,144,136,True,170,67,132,170,67
PH,No,300,300,170,67,144,142,True,,,,,
PH,Yes,300,300,170,67,144,136,True,170,67,132,170,67
BF,No,300,300,228,163,144,372,True,,,,,
BF,Yes,300,300,228,163,144,74,True,228,163,72,228,163
PH,No,300,300,228,163,144,84,True,,,,,
PH,Yes,300,300,228,163,144,74,True,228,163,72,228,163
BF,No,300,300,18,7,144,319,True,,,,,
BF,Yes,300,300,18,7,144,24,True,18,7,21,18,7
PH,No,300,300,18,7,144,31,True,,,,,
PH,Yes,300,300,18,7,144,24,True,18,7,21,18,7
BF,No,300,300,52,259,144,548,True,,,,,
BF,Yes,300,300,52,259,144,57,True,52,259,54,52,259
PH,No,300,300,52,259,144,58,True,,,,,
PH,Yes,300,300,52,259,144,57,True,52,259,54,52,259
BF,No,300,300,3,153,144,304,True,,,,,
BF,Yes,300,300,3,153,144,10,True,3,153,6,3,153
PH,No,300,300,3,153,144,16,True,,,,,
PH,Yes,300,300,3,153,144,9,True,3,153,6,3,153
BF,No,300,300,16,273,144,317,True,,,,,
BF,Yes,300,300,16,273,144,21,True,16,273,18,16,273
PH,No,300,300,16,273,144,38,True,,,,,
PH,Yes,300,300,16,273,144,21,True,16,273,18,16,273
BF,No,300,300,229,90,144,530,True,,,,,
BF,Yes,300,300,229,90,144,75,True,229,90,72,229,90
PH,No,300,300,229,90,144,76,True,,,,,
PH,Yes,300,300,229,90,144,75,True,229,90,72,229,90
BF,No,300,300,246,225,144,247,True,,,,,
BF,Yes,300,300,246,225,144,54,True,245,225,51,245,225
PH,No,300,300,246,225,144,75,True,,,,,
PH,Yes,300,300,246,225,144,54,True,245,225,51,245,225
BF,No,300,300,122,181,144,178,True,,,,,
BF,Yes,300,300,122,181,144,123,True,123,181,120,123,181
PH,No,300,300,122,181,144,135,True,,,,,
PH,Yes,300,300,122,181,144,123,True,123,181,120,123,181
BF,No,300,300,144,29,144,145,True,,,,,
BF,Yes,300,300,144,29,144,145,True,144,29,141,144,29
PH,No,300,300,144,29,144,145,True,,,,,
PH,Yes,300,300,144,29,144,145,True,144,29,141,144,29
BF,No,300,300,223,51,144,377,True,,,,,
BF,Yes,300,300,223,51,144,81,True,223,51,78,223,51
PH,No,300,300,223,51,144,89,True,,,,,
PH,Yes,300,300,223,51,144,81,True,223,51,78,223,51
BF,No,300,300,27,92,144,573,True,,,,,
BF,Yes,300,300,27,92,144,30,True,26,92,27,26,92
PH,No,300,300,27,92,144,33,True,,,,,
PH,Yes,300,300,27,92,144,30,True,26,92,27,26,92
BF,No,300,300,147,273,144,448,True,,,,,
BF,Yes,300,300,147,273,144,1053,True,,,,142,272
PH,No,300,300,147,273,144,158,True,,,,,
PH,Yes,300,300,147,273,144,158,True,145,274,147,145,274
BF,No,300,300,176,59,144,424,True,,,,,
BF,Yes,300,300,176,59,144,129,True,176,59,126,176,59
PH,No,300,300,176,59,144,136,True,,,,,
PH,Yes,300,300,176,59,144,129,True,176,59,126,176,59
BF,No,300,300,104,149,144,796,True,,,,,
BF,Yes,300,300,104,149,144,107,True,104,149,105,104,149
PH,No,300,300,104,149,144,117,True,,,,,
PH,Yes,300,300,104,149,144,107,True,104,149,105,104,149
BF,No,300,300,293,3,144,594,True,,,,,
BF,Yes,300,300,293,3,144,18,True,293,3,12,293,3
PH,No,300,300,293,3,144,12,True,,,,,
PH,Yes,300,300,293,3,144,21,True,293,3,18,293,3
BF,No,300,300,14,188,144,586,True,,,,,
BF,Yes,300,300,14,188,144,17,True,14,188,15,14,188
PH,No,300,300,14,188,144,20,True,,,,,
PH,Yes,300,300,14,188,144,17,True,14,188,15,14,188
BF,No,300,300,263,299,144,637,True,,,,,
BF,Yes,300,300,263,299,144,50,True,263,299,48,263,299
PH,No,300,300,263,299,144,49,True,,,,,
PH,Yes,300,300,263,299,144,50,True,263,299,48,263,299
BF,No,300,300,294,175,144,295,True,,,,,
BF,Yes,300,300,294,175,144,11,True,294,175,9,294,175
PH,No,300,300,294,175,144,27,True,,,,,
PH,Yes,300,300,294,175,144,11,True,294,175,9,294,175
BF,No,300,300,80,266,144,81,True,,,,,
BF,Yes,300,300,80,266,144,81,True,81,266,78,81,266
PH,No,300,300,80,266,144,81,True,,,,,
PH,Yes,300,300,80,266,144,81,True,81,266,78,81,266
BF,No,300,300,52,45,144,53,True,,,,,
BF,Yes,300,300,52,45,144,53,True,51,45,48,51,45
PH,No,300,300,52,45,144,53,True,,,,,
PH,Yes,300,300,52,45,144,53,True,51,45,48,51,45
BF,No,300,300,168,66,144,169,True,,,,,
BF,Yes,300,300,168,66,144,132,True,167,66,129,167,66
PH,No,300,300,168,66,144,144,True,,,,,
PH,Yes,300,300,168,66,144,132,True,167,66,129,167,66
BF,No,300,300,38,218,144,262,True,,,,,
BF,Yes,300,300,38,218,144,39,True,39,218,36,39,218
PH,No,300,300,38,218,144,51,True,,,,,
PH,Yes,300,300,38,218,144,39,True,39,218,36,39,218
BF,No,300,300,36,228,144,337,True,,,,,
BF,Yes,300,300,36,228,144,39,True,35,228,36,35,228
PH,No,300,300,36,228,144,49,True,,,,,
PH,Yes,300,300,36,228,144,39,True,35,228,36,35,228
BF,No,300,300,114,100,144,115,True,,,,,
BF,Yes,300,300,114,100,144,115,True,114,100,114,114,100
PH,No,300,300,114,100,144,115,True,,,,,
PH,Yes,300,300,114,100,144,115,True,114,100,114,114,100
BF,No,300,300,33,283,144,34,True,,,,,
BF,Yes,300,300,33,283,144,34,True,33,283,30,33,283
PH,No,300,300,33,283,144,34,True,,,,,
PH,Yes,300,300,33,283,144,34,True,33,283,30,33,283
BF,No,300,300,44,163,144,556,True,,,,,
BF,Yes,300,300,44,163,144,47,True,44,163,45,44,163
PH,No,300,300,44,163,144,50,True,,,,,
PH,Yes,300,300,44,163,144,47,True,44,163,45,44,163
BF,No,300,300,85,269,144,386,True,,,,,
BF,Yes,300,300,85,269,144,86,True,87,269,84,87,269
PH,No,300,300,85,269,144,98,True,,,,,
PH,Yes,300,300,85,269,144,86,True,87,269,84,87,269
BF,No,300,300,135,234,144,465,True,,,,,
BF,Yes,300,300,135,234,144,141,True,135,234,138,135,234
PH,No,300,300,135,234,144,141,True,,,,,
PH,Yes,300,300,135,234,144,141,True,135,234,138,135,234
BF,No,300,300,86,199,144,814,True,,,,,
BF,Yes,300,300,86,199,144,89,True,86,199,87,86,199
PH,No,300,300,86,199,144,99,True,,,,,
PH,Yes,300,300,86,199,144,89,True,86,199,87,86,199
BF,No,300,300,29,247,144,271,True,,,,,
BF,Yes,300,300,29,247,144,30,True,30,247,27,30,247
PH,No,300,300,29,247,144,42,True,,,,,
PH,Yes,300,300,29,247,144,30,True,30,247,27,30,247
BF,No,300,300,249,186,144,550,True,,,,,
BF,Yes,300,300,249,186,144,53,True,249,186,51,249,186
PH,No,300,300,249,186,144,56,True,,,,,
PH,Yes,300,300,249,186,144,53,True,249,186,51,249,186
BF,No,300,300,227,233,144,228,True,,,,,
BF,Yes,300,300,227,233,144,79,True,227,233,75,227,233
PH,No,300,300,227,233,144,85,True,,,,,
PH,Yes,300,300,227,233,144,79,True,227,233,75,227,233
BF,No,300,300,111,32,144,412,True,,,,,
BF,Yes,300,300,111,32,144,117,True,111,32,114,111,32
PH,No,300,300,111,32,144,124,True,,,,,
PH,Yes,300,300,111,32,144,117,True,111,32,114,111,32
BF,No,300,300,233,10,144,67,True,,,,,
BF,Yes,300,300,233,10,144,67,True,233,10,63,233,10
PH,No,300,300,233,10,144,67,True,,,,,
PH,Yes,300,300,233,10,144,67,True,233,10,63,233,10
BF,No,300,300,65,193,144,235,True,,,,,
BF,Yes,300,300,65,193,144,66,True,66,193,63,66,193
PH,No,300,300,65,193,144,78,True,,,,,
PH,Yes,300,300,65,193,144,66,True,66,193,63,66,193
